Entity,Code,Year,battery_electric_number,plugin_hybrid_number,full_mild_hybrid_number,petrol_number,diesel_gas_number
Austria,AUT,2001,0,0,39,100754,192734
Austria,AUT,2002,1,0,17,84920,194555
Austria,AUT,2003,0,0,8,85889,214222
Austria,AUT,2004,0,0,133.0021363,96387.54819,214771.4497
Austria,AUT,2005,0,0,460,119632,187813
Austria,AUT,2006,0,0,585,116237,191773
Austria,AUT,2007,0,0,766,120534,176881
Austria,AUT,2008,2,0,665,131993,161036
Austria,AUT,2009,39,0,1057,169702,148430
Austria,AUT,2010,112.0003415,0,1248.003805,158336.4827,168316.5131
Austria,AUT,2011,633,0,1304,158142,196065
Austria,AUT,2012,619,0,1982,142740,190669
Austria,AUT,2013,839,0,2410,134815,180971
Austria,AUT,2014,1404,314,1918,127285,172397
Austria,AUT,2015,1756,1031,2040,123528,180200
Austria,AUT,2016,3379,1689,3269,132346,188921
Austria,AUT,2017,5433,1676,5674,165070,175467
Austria,AUT,2018,6764,2250,5961,185820,140273
Austria,AUT,2019,8889,2144,12493,175405,130432
Belgium,BEL,2001,5,0,48,186084,302493
Belgium,BEL,2002,4,0,13,174240,293223
Belgium,BEL,2003,0,0,34,145613,313076
Belgium,BEL,2004,0,0,135,145365,339176
Belgium,BEL,2005,0,0,478,131015,348515
Belgium,BEL,2006,0,0,895,136887,388331
Belgium,BEL,2007,0,0,1309,119166,404100
Belgium,BEL,2008,0,0,1878,111383,422432
Belgium,BEL,2009,0,0,1837.007736,115865.4879,357224.5043
Belgium,BEL,2010,36.00065908,0,4074.074586,129038.3624,413074.5624
Belgium,BEL,2011,277.0009682,0,6663.023289,134332.4695,430936.5062
Belgium,BEL,2012,826,0,4958,145719,335233
Belgium,BEL,2013,751.0046352,0,5678.035045,164359.0144,315276.9459
Belgium,BEL,2014,1361.002818,617.0012776,7495.01552,174234.3608,299231.6196
Belgium,BEL,2015,1625,1429,7675,190013,300324
Belgium,BEL,2016,2000,7293,9196,241605,279425
Belgium,BEL,2017,2541,11876,12333,266486,253322
Belgium,BEL,2018,3648,9064,14519,327133,195268
Belgium,BEL,2019,8837,8465,19375,340232,173094
Denmark,DNK,2001,7,0,0,78926,17183
Denmark,DNK,2002,1.000008911,0,0,89295.79575,22919.20424
Denmark,DNK,2003,2,0,0,74535,22672
Denmark,DNK,2004,3,0,10,91650,30183
Denmark,DNK,2005,2.000013497,0,5.000033743,111154.7501,37016.24981
Denmark,DNK,2006,2,0,13,113194,43700
Denmark,DNK,2007,2,0,14,97747,65013
Denmark,DNK,2008,5,0,48,80167,70429
Denmark,DNK,2009,78.00139332,0,57.00101819,61854.10488,49975.89271
Denmark,DNK,2010,42.00109591,0,146.0038096,82200.1448,70912.85029
Denmark,DNK,2011,457.0053763,0,240.0028234,87895.03401,81415.95779
Denmark,DNK,2012,539,0,424,101769,68051
Denmark,DNK,2013,538,0,1087,122047,57598
Denmark,DNK,2014,1646,4,1214,126841,59363
Denmark,DNK,2015,4478,263,2252,136184,64212
Denmark,DNK,2016,1173,716,5762,135377,80114
Denmark,DNK,2017,712,612,7188,135614,78024
Denmark,DNK,2018,1551,3073,9232,132652,72606
Denmark,DNK,2019,5526,3882,13284,143199,60788
Europe,,2019,341267,193316,,,
Europe,,2020,720913,603314,,,
Finland,FIN,2001,0,0,0,91191,18231
Finland,FIN,2002,0,0,0,98551,18460
Finland,FIN,2003,0,0,0,125027,22078
Finland,FIN,2004,0,0,63,120442,21798
Finland,FIN,2005,0,0,62,122947,24731
Finland,FIN,2006,0,0,109,115893,29231
Finland,FIN,2007,0,0,149,89602,35247
Finland,FIN,2008,5,0,847,69570,68648
Finland,FIN,2009,1,0,780,47665,41815
Finland,FIN,2010,14.00012569,0,1123.010082,63779.5726,46469.41719
Finland,FIN,2011,30,0,1136,71419,53584
Finland,FIN,2012,105,0,1439,65647,44101
Finland,FIN,2013,219,0,2260,62094,38920
Finland,FIN,2014,201,245,2331,61708,41796
Finland,FIN,2015,244,416,2851,66352,38986
Finland,FIN,2016,213,1875,4018,73446,39487
Finland,FIN,2017,486,2507,8455,71116,36086
Finland,FIN,2018,775,4807,11000,74987,28988
Finland,FIN,2019,1897,5869,14206,70316,21958
France,FRA,2001,407,0,84,986491,1267750
France,FRA,2002,233,0,51,793425,1351362
France,FRA,2003,113,0,36,655678,1353419
France,FRA,2004,460,0,669,619675,1392905
France,FRA,2005,6,0,2855,641022,1423906
France,FRA,2006,13.0000065,0,6413.003206,565984.2829,1428152.714
France,FRA,2007,6,0,7161,528838,1528994
France,FRA,2008,4.000003902,0,8451.008244,454253.4431,1587574.549
France,FRA,2009,10.00000892,0,9833.008768,657106.5859,1575944.405
France,FRA,2010,184,0,9634,639025,1554298
France,FRA,2011,2654,0,12805,581470,1568874
France,FRA,2012,5913,0,24920,471131,1358560
France,FRA,2013,9159,0,46310,532810,1167972
France,FRA,2014,10980,1340,41104,591847,1119957
France,FRA,2015,17771,4604,41718,737645,1083830
France,FRA,2016,21553,7689,46918,876159,1031410
France,FRA,2017,24967.13011,11868.06185,64005.33354,1011050.269,998972.2058
France,FRA,2018,31095.01431,13380.00616,84154.03872,1198925.552,846023.3892
France,FRA,2019,42829,18442,95273,1283191,768825
Germany,DEU,2001,56.00005028,0,606.0005441,2185246.962,1155300.037
Germany,DEU,2002,19,0,135,2016224,1235960
Germany,DEU,2003,17,0,260,1945639,1290602
Germany,DEU,2004,10,0,1704,1827287,1437677
Germany,DEU,2005,18.00002155,0,3578.004284,1912265.29,1424846.706
Germany,DEU,2006,3.000002596,0,5227.004524,1926088.667,1535170.329
Germany,DEU,2007,6.000001907,0,7515.002388,1639159.521,1499897.477
Germany,DEU,2008,5,0,6152,1722202,1359930
Germany,DEU,2009,152,0,8095,2628234,1153083
Germany,DEU,2010,380.000132,0,10022.00348,1681641.584,1185746.412
Germany,DEU,2011,2204.004167,0,11708.02214,1660602.14,1498958.834
Germany,DEU,2012,3572,0,20281,1569937,1488562
Germany,DEU,2013,7363.187057,0,24440.6209,1516550.527,1403902.665
Germany,DEU,2014,9583.003156,3483.001147,22413.00738,1547962.51,1453187.479
Germany,DEU,2015,12428,11142,17846,1621389,1543114
Germany,DEU,2016,11457.08204,13762.09855,32756.23457,1752504.55,1540989.035
Germany,DEU,2017,25138.67209,29488.7884,47709.27553,2001939.523,1336845.741
Germany,DEU,2018,36150.86247,29916.54128,81139.18024,2175797.096,1112597.32
Germany,DEU,2019,63460.99377,44639.8093,155461.7836,2120699.413,1222769
Greece,GRC,2001,0,0,0,277814.2746,2479.725444
Greece,GRC,2002,0,0,4.00114749,266450.4154,2034.583499
Greece,GRC,2003,0,0,4.001601929,253210.3656,4078.632766
Greece,GRC,2004,0,0,112.0688464,281442.8968,8195.034396
Greece,GRC,2005,0,0,227.1937471,265442.3649,4035.441358
Greece,GRC,2006,0,0,533.2849298,261314.6183,5796.096807
Greece,GRC,2007,0,0,1105.375396,270540.8783,8086.746336
Greece,GRC,2008,0,0,2336.472165,255330.5983,9547.929488
Greece,GRC,2009,1.000176939,0,1676.29655,211616.4366,7160.266706
Greece,GRC,2010,0,0,1090.721098,134759.1932,5646.085686
Greece,GRC,2011,0,0,999.2864487,86989.93595,9689.777606
Greece,GRC,2012,2,0,459,34693,23327
Greece,GRC,2013,3.000051113,0,389.0066277,24344.41477,33957.57855
Greece,GRC,2014,54,9,425,25361,45367
Greece,GRC,2015,32,43,864,27069,47797
Greece,GRC,2016,20,78,1472,34323,42980
Greece,GRC,2017,37,159,2342,46527,39014
Greece,GRC,2018,73,228,3588,62658,36884
Greece,GRC,2019,188.0115319,458.0280937,5659.347123,77075.61325,30744
Iceland,ISL,2016,231.0249662,604.0652797,696.0752229,8744.945042,8230.889489
Iceland,ISL,2017,417.0389683,1453.135782,1041.097281,9562.893561,8929.834408
Ireland,IRL,2001,0,0,19.07941399,143493.2601,21060.66051
Ireland,IRL,2002,0,0,9.039324324,130663.4331,25406.52757
Ireland,IRL,2003,0,0,9.021058226,120688.7286,24525.2503
Ireland,IRL,2004,0,0,241.079207,125102.0275,28792.89329
Ireland,IRL,2005,0,0,316.0852476,134040.2778,37385.63697
Ireland,IRL,2006,0,0,609.8553896,133666.1891,44206.95556
Ireland,IRL,2007,0,0,1044.206321,133851.3711,51429.42256
Ireland,IRL,2008,0,0,1195.167767,96521.38605,53899.44618
Ireland,IRL,2009,2.100884891,0,262.6106114,25308.30984,31881.97866
Ireland,IRL,2010,17.26469405,0,682.4632002,28628.92502,59051.34708
Ireland,IRL,2011,46.47041108,0,564.7165172,24264.62617,65020.18691
Ireland,IRL,2012,137,0,645,19349,59367
Ireland,IRL,2013,47.05948326,0,590.7467047,19941.20571,53787.9881
Ireland,IRL,2014,227.3823377,29.0488449,1006.692728,24354.95224,70725.92385
Ireland,IRL,2015,466,97,1518,34078,88786
Ireland,IRL,2016,392.2461572,300.1883856,2569.612581,40850.63614,102487.3167
Ireland,IRL,2017,622.2226759,309.1106219,4441.589519,40367.44636,85591.63082
Ireland,IRL,2018,1233.432242,679.2380311,7037.466199,48370.95104,68235.91249
Ireland,IRL,2019,3444.971077,1287.736792,10622.07753,47394.2146,54351
Italy,ITA,2001,147,0,23,1557121,888028
Italy,ITA,2002,126,0,15,1323521,1012770
Italy,ITA,2003,137,0,11,1170804,1106001
Italy,ITA,2004,42,0,494,950970,1338600
Italy,ITA,2005,527.0002327,0,1109.00049,930688.411,1332336.588
Italy,ITA,2006,26,0,2187,973691,1378237
Italy,ITA,2007,21,0,3440,1105058,1404453
Italy,ITA,2008,77,0,3340,1068107,1102799
Italy,ITA,2009,44,0,7561,1250274,907202
Italy,ITA,2010,104,0,4819,1056337,906116
Italy,ITA,2011,291,0,5048,775104,963546
Italy,ITA,2012,601,0,6481,646971,742026
Italy,ITA,2013,1145.00178,0,13966.02171,576497.8961,695107.0804
Italy,ITA,2014,1237.000902,271.0001977,20981.0153,591041.4311,757421.5525
Italy,ITA,2015,1461,894,25223,675769,880269
Italy,ITA,2016,1373,1371,36346,749022,1056068
Italy,ITA,2017,1961.037701,2845.054696,59054.13531,794731.2786,1118009.494
Italy,ITA,2018,4990.002603,4632.002417,73622.03841,848400.4426,985060.5139
Italy,ITA,2019,10681.0222,6489.01349,94981.19745,1022634.767,789372
Luxembourg,LUX,2001,0,0,4,17931,25229
Luxembourg,LUX,2002,0,0,0,16677,27000
Luxembourg,LUX,2003,0,0,0,14954,28814
Luxembourg,LUX,2004,0,0,14,13284,34973
Luxembourg,LUX,2005,0,0,53,11894,36570
Luxembourg,LUX,2006,0,0,89,11442,39306
Luxembourg,LUX,2007,0,0,124,11437,39771
Luxembourg,LUX,2008,1,0,150,11891,40317
Luxembourg,LUX,2009,0,0,128,12654,34483
Luxembourg,LUX,2010,1,0,245,12069,37411
Luxembourg,LUX,2011,31,0,283,11363,38204
Luxembourg,LUX,2012,99,0,603,11333,38363
Luxembourg,LUX,2013,188,0,329,11868,34239
Luxembourg,LUX,2014,363,60,409,13115,35846
Luxembourg,LUX,2015,73,113,379,12998,32910
Luxembourg,LUX,2016,145,201,573,16873,32769
Luxembourg,LUX,2017,386,676,797,22439,28477
Luxembourg,LUX,2018,432.0081368,646.0121676,974.0183455,26019.49007,25021.47128
Luxembourg,LUX,2019,986,880,1961,27398,24102
Netherlands,NLD,2001,13.00071097,0,383.0209464,408614.346,121276.6323
Netherlands,NLD,2002,14.00145293,0,63.0065382,400517.5618,110149.4302
Netherlands,NLD,2003,0,0,19.01088611,378208.5718,110748.4173
Netherlands,NLD,2004,0,0,1178.449063,363399.8496,119304.7014
Netherlands,NLD,2005,2.002246736,0,2936.294839,337735.9761,124521.7268
Netherlands,NLD,2006,1.002545668,0,3155.011216,350625.3091,130228.6771
Netherlands,NLD,2007,2.00884539,0,3709.333013,357762.3065,144065.3516
Netherlands,NLD,2008,0,0,11879.83079,361661.5718,126410.5974
Netherlands,NLD,2009,22.15808445,0,16390.93938,292616.6417,78249.26086
Netherlands,NLD,2010,121.0035069,0,16101.46665,368167.6702,98670.85966
Netherlands,NLD,2011,877.0047327,0,14887.08034,383148.0677,157004.8473
Netherlands,NLD,2012,3829,0,22517,332934,143261
Netherlands,NLD,2013,22631,0,23682,267106,103605
Netherlands,NLD,2014,3380.061008,11856.214,14499.2617,252976.5661,105112.8972
Netherlands,NLD,2015,3532,40329,15034,261104,132389
Netherlands,NLD,2016,3781,18947,11012,277675,73283
Netherlands,NLD,2017,7539,1636,17677,317262,73951
Netherlands,NLD,2018,23843,3286,21239,338086,57076
Netherlands,NLD,2019,62056,5315,27707,317265,33771
Norway,NOR,2013,8227,0,9494,49742,74688
Norway,NOR,2014,18112,1665,10015,44228,70176
Norway,NOR,2015,25788,7982,10749,44657,61508
Norway,NOR,2016,23550,21361,17479,44591,47619
Norway,NOR,2017,30033,31246,20132,40524,36711
Norway,NOR,2018,46143,26346,15774,33492,26168
Norway,NOR,2019,60345,19297,17585,22325,22828
Portugal,PRT,2001,4,0,14,182452,72745
Portugal,PRT,2002,0,0,6,147697,78389
Portugal,PRT,2003,1,0,102,104738,84951
Portugal,PRT,2004,0,0,471,85262,111851
Portugal,PRT,2005,0,0,759,74009,131720
Portugal,PRT,2006,0,0,731,67213,126772
Portugal,PRT,2007,0,0,1914,60025,139877
Portugal,PRT,2008,0,0,1692,63873,147809
Portugal,PRT,2009,0,0,1151,52725,107033
Portugal,PRT,2010,18,0,1487,72969,148953
Portugal,PRT,2011,205,0,977,45274,107030
Portugal,PRT,2012,82,0,979,27012,67236
Portugal,PRT,2013,210,0,1063,28060,76588
Portugal,PRT,2014,204,85,1927,38639,101971
Portugal,PRT,2015,620,546,2957,52721,121659
Portugal,PRT,2016,711,1134,3203,67116,135166
Portugal,PRT,2017,1640,2420,4692,77114,136241
Portugal,PRT,2018,4073,3734,7256,90173,123091
Portugal,PRT,2019,6883,5798,10039,110787,90292
Spain,ESP,2001,0,0,20,701839,804281
Spain,ESP,2002,3,0,14,585677,819895
Spain,ESP,2003,0,0,101.0000689,562933.384,902908.6159
Spain,ESP,2004,0,0,521.0003224,547827.339,1067728.661
Spain,ESP,2005,0,0,1229,510891,1137231
Spain,ESP,2006,0,0,2187,488213,1144089
Spain,ESP,2007,0,0,2538,466629,1145647
Spain,ESP,2008,0,0,3908,351986,805282
Spain,ESP,2009,1,0,4772,279683,668660
Spain,ESP,2010,69,0,7122,280888,693806
Spain,ESP,2011,377,0,9626,229755,568300
Spain,ESP,2012,484,0,9987,206867,482251
Spain,ESP,2013,839,0,10203,224724,486937
Spain,ESP,2014,1076,294,12043,276358,565537
Spain,ESP,2015,1342,876,18390,363317,650307
Spain,ESP,2016,1887,1690,30867,460926,651637
Spain,ESP,2017,3624,3575,55037,576173,596522
Spain,ESP,2018,5984,5380,74640,762555,472879
Spain,ESP,2019,10406,7696,102528,793164,449539
Sweden,SWE,2001,2,0,229,232709,13641
Sweden,SWE,2002,1,0,121,236670,17797
Sweden,SWE,2003,1,0,89,240870,20209
Sweden,SWE,2004,0,0,736,231557,31861
Sweden,SWE,2005,1,0,1947,226296,45688
Sweden,SWE,2006,0,0,2894,198037,81544
Sweden,SWE,2007,0,0,3391,159699,143235
Sweden,SWE,2008,0,0,4153,103370,146400
Sweden,SWE,2009,21,0,3058,83718,125432
Sweden,SWE,2010,9,0,3628,102776,182380
Sweden,SWE,2011,183,0,2907,98771,203122
Sweden,SWE,2012,408,0,3441,82544,193502
Sweden,SWE,2013,1509,0,5101,94473,168469
Sweden,SWE,2014,1394.018346,3284.043219,6977.09182,110900.4595,181390.3871
Sweden,SWE,2015,2979,5694,8620,127104,200709
Sweden,SWE,2016,2890.023287,10440.08412,13431.10822,148648.1978,196908.5866
Sweden,SWE,2017,4231.301126,15816.12558,18665.32834,150539.7134,190140.5316
Sweden,SWE,2018,7096.364207,21620.15626,21710.17357,168323.3585,134973.9474
Sweden,SWE,2019,15601.36894,24745.27394,35250.90941,159991.852,120472.5957
Switzerland,CHE,2013,1750.017054,0,6727.065556,184784.8008,114584.1166
Switzerland,CHE,2014,1953,733,6120,180973,112113
Switzerland,CHE,2015,3334,2974,5826,185318,126310
Switzerland,CHE,2016,3313,2853,7619,178865,124665
Switzerland,CHE,2017,4772,3556,7180,185303.5787,113224.4213
Switzerland,CHE,2018,5136,4004,9338,190986,90214
Switzerland,CHE,2019,13192,4203,20288,190639,87597
Turkey,TUR,2014,49,20,219,220295,366748
Turkey,TUR,2015,121,107,868,276249,448251
Turkey,TUR,2016,23,162,898,290569,465286
Turkey,TUR,2017,76,80,4428,277218,440957
Turkey,TUR,2018,155,65,4537,194285,287279
Turkey,TUR,2019,222,258,13200,176842,196734
United Kingdom,GBR,2001,29,0,719,2019996,437628
United Kingdom,GBR,2002,45.00001756,0,339.0001323,1965464.767,596885.2329
United Kingdom,GBR,2003,2,0,1079,1873592,704074
United Kingdom,GBR,2004,0,0,2462,1730715,833668
United Kingdom,GBR,2005,0,0,5766,1538463,895022
United Kingdom,GBR,2006,298,0,8957,1437376,897776
United Kingdom,GBR,2007,397,0,15972,1423626,963628
United Kingdom,GBR,2008,179,0,15385,1188689,926604
United Kingdom,GBR,2009,55,0,14645,1142349,831908
United Kingdom,GBR,2010,167,0,22148,1067527,935192
United Kingdom,GBR,2011,1102.000569,0,23369.01206,929590.4799,983043.5075
United Kingdom,GBR,2012,1784,0,25370,973633,1039199
United Kingdom,GBR,2013,3586,0,29126,1104185,1127840
United Kingdom,GBR,2014,8067,6550,37188,1184054,1240576
United Kingdom,GBR,2015,10054,18395,44181,1283755,1277118
United Kingdom,GBR,2016,10276,28694,49872,1317705,1286239
United Kingdom,GBR,2017,13576,35030,68304,1358521,1065186
United Kingdom,GBR,2018,14944,40410,93409,1472695,745689
United Kingdom,GBR,2019,37850,34758,155276,1467637,615619